user_ID,frequence,amount,recently,type
1567,4,3062,4,1
1568,1,293,88,0
1570,3,4019,52,1
1571,3,1430,2,0
1572,2,3269,65,1
1573,4,3466,13,1
1574,1,1198,25,0
1575,1,704,43,0
1576,2,2569,40,1
1578,3,2209,17,1
1579,3,2427,68,0
1580,2,1649,95,0
1581,2,1214,95,0
1583,2,2346,2,1
1584,2,2507,7,1
1586,1,528,83,0
1587,1,1278,107,0
1588,1,1173,18,0
1589,4,2782,53,1
1590,4,3349,72,1
1591,3,3101,93,0
1593,2,2353,85,0
1594,5,3761,56,1
1595,1,624,53,0
1599,4,3501,58,1
1600,1,1384,91,0
1601,1,847,66,0
1603,3,2276,115,0
1605,2,1226,174,0
1607,1,417,75,0
1608,4,1717,10,1
1610,4,2808,35,1
1611,3,4203,30,1
1612,2,2227,10,0
1615,4,3887,0,1
1616,2,1298,63,0
1617,4,4600,0,1
1618,2,1747,64,0
1619,2,1686,134,0
1620,3,2221,65,0
1621,1,638,66,0
1622,1,515,2,0
1624,2,1893,19,0
1626,1,1834,35,0
1633,1,1480,106,0
1636,2,747,24,0
1638,3,3552,79,1
1641,3,3029,10,1
1642,3,3205,102,1
1643,2,1910,10,1
1644,2,994,6,0
1645,2,615,15,0
1646,4,5049,58,1
1652,2,978,38,0
1653,3,1745,18,1
1654,2,1894,146,0
1657,1,420,211,0
1658,3,2073,64,0
1659,3,4045,80,1
1660,2,2798,36,1
1661,1,1303,58,0
1663,4,3714,50,1
1664,3,2180,43,0
1665,3,4113,51,1
1670,4,2496,34,1
1671,2,923,12,0
1672,3,2729,59,1
1673,4,4318,10,1
1674,3,2083,12,0
1676,1,1217,157,0
1679,2,1339,93,0
1681,3,2554,4,1
1682,3,3337,64,1
1684,2,3267,123,0
1686,1,1602,42,0
1687,1,1763,97,0
1690,2,1802,116,0
1693,2,2276,129,0
1694,3,3694,14,1
1695,5,4854,56,1
1698,1,1503,82,0
1701,3,1590,6,1
1702,2,1851,63,0
1704,4,3880,70,1
1707,1,678,27,0
1708,3,2951,61,1
1709,5,4690,45,1
1710,2,677,29,0
1711,4,4793,58,1
1712,2,1497,141,0
1714,1,1146,195,0
1715,4,3554,40,1
1716,3,2499,3,1
1719,4,2481,68,0
1720,2,2149,37,0
1722,6,6418,12,1
1723,2,1985,41,0
1725,2,2625,70,1
1726,2,3181,159,1
1727,3,2851,67,1
1729,5,3917,27,1
1730,2,2574,142,0
1731,3,2982,5,1
1732,5,3735,20,1
1735,4,4280,70,1
1736,1,769,119,0
1737,6,5198,55,1
1738,1,433,20,0
1739,3,1839,99,0
1741,1,409,55,0
1743,1,1124,63,0
1744,1,505,136,0
1746,2,2849,138,0
1747,2,1691,41,0
1748,1,318,188,0
1749,3,3114,38,1
1750,4,3620,54,1
1752,3,2746,16,0
1753,3,3155,66,1
1754,1,667,118,0
1755,1,796,38,0
1756,2,844,33,0
1758,3,2713,107,0
1759,2,788,37,0
1760,1,912,146,0
1761,2,2248,38,0
1765,3,3090,10,1
1766,3,3569,12,1
1768,2,1139,128,0
1770,2,1680,22,0
1771,23,18772,4,1
1772,3,1613,75,0
1773,4,5189,104,1
1774,3,3234,48,1
1775,6,6175,21,1
1776,2,709,48,0
1778,2,1641,13,0
1783,3,2532,6,1
1784,3,2903,20,1
1786,3,2703,104,0
1787,5,3632,50,1
1788,2,1915,50,0
1790,2,1993,35,0
1791,2,1720,117,0
1792,2,2990,50,1
1793,1,775,129,0
1795,4,5436,4,1
1796,2,896,53,0
1797,1,481,73,0
1798,4,3885,7,1
1801,2,1359,13,0
1802,3,3048,171,0
1803,3,2286,31,1
1805,1,716,5,0
1806,2,1116,171,0
1809,4,3916,87,1
1810,1,337,130,0
1811,2,1542,15,0
1812,2,955,67,0
1813,3,3545,15,1
1814,2,3191,130,0
1815,2,2928,59,0
1816,2,1627,118,0
1817,3,2377,19,1
1819,2,2513,169,0
1821,3,3218,31,1
1822,1,407,34,0
1823,3,4208,52,1
1824,2,1351,45,0
1825,2,1173,102,0
1826,2,1208,10,0
1827,2,2311,15,0
1829,3,3273,57,1
1832,2,2398,37,0
1834,2,1747,64,0
1835,4,4052,19,1
1838,3,3420,41,1
1839,4,2512,52,1
1840,1,413,57,0
1841,3,1490,10,0
1843,3,2525,19,1
1845,2,1924,46,0
1846,4,4860,64,1
1847,2,1996,21,0
1849,3,2224,80,0
1850,2,1576,41,0
1851,2,2107,34,0
1852,3,3687,41,1
1855,2,2152,18,0
1857,2,1416,185,0
